"zip","year","independent_artists","art_firms"
10467,2013,1,7
10467,2014,0,9
10467,2015,0,17
10468,2005,0,8
10468,2006,0,13
10468,2007,1,8
10468,2008,0,10
10468,2009,0,10
10468,2010,0,12
10468,2011,1,82
10468,2012,0,78
10468,2013,0,74
10468,2014,0,74
10468,2015,0,36
10469,2005,0,6
10469,2006,1,4
10469,2007,1,7
10469,2008,0,2
10469,2009,0,7
10469,2010,0,2
10469,2011,0,2
10469,2012,0,15
10469,2013,0,15
10469,2014,0,17
10469,2015,0,22
10470,2005,0,2
10470,2006,0,2
10470,2008,0,2
10470,2009,0,2
10470,2010,0,2
10470,2011,0,2
10470,2012,0,2
10470,2013,0,2
10470,2014,0,2
10470,2015,0,4
10471,2005,3,11
10471,2006,2,34
10471,2007,2,6
10471,2008,1,4
10471,2009,2,4
10471,2010,2,2
10471,2011,2,2
10471,2012,3,2
10471,2013,2,0
10471,2014,1,0
10471,2015,1,0
10472,2009,1,0
10472,2012,1,0
10472,2015,1,0
10473,2005,1,0
10473,2008,1,0
10473,2009,0,2
10473,2010,0,9
10473,2011,1,7
10473,2012,1,7
10473,2013,1,0
10473,2014,1,70
10473,2015,1,0
10474,2005,0,30
10474,2006,0,30
10474,2007,0,32
10474,2008,1,34
10474,2009,0,39
10474,2010,0,32
10474,2011,0,34
10474,2012,0,34
10474,2013,0,32
10474,2014,0,32
10474,2015,0,32
10475,2005,0,2
10475,2006,0,2
10475,2007,0,2
10475,2008,0,2
10475,2009,0,2
10475,2010,0,2
10475,2011,0,2
11004,2005,1,34
11004,2006,1,34
11004,2007,0,34
11004,2008,0,72
11004,2009,0,30
11004,2010,0,34
11004,2011,0,32
11004,2012,1,30
11004,2013,0,30
11004,2014,0,30
11004,2015,0,30
11101,2005,8,98
11101,2006,9,97
11101,2007,12,102
11101,2008,14,149
11101,2009,16,155
11101,2010,16,135
11101,2011,16,191
11101,2012,22,184
11101,2013,26,303
11101,2014,28,291
11101,2015,36,270
11102,2005,7,2
11102,2006,8,2
11102,2007,10,11
11102,2008,10,6
11102,2009,11,2
11102,2010,9,4
11102,2011,9,11
11102,2012,10,8
11102,2013,6,14
11102,2014,7,26
11102,2015,9,27
11103,2005,0,15
11103,2006,0,22
11103,2007,0,24
11103,2008,2,28
11103,2009,1,22
11103,2010,1,36
11103,2011,1,28
11103,2012,1,42
11103,2013,1,59
11103,2014,1,44
11103,2015,3,69
11104,2005,1,10
11104,2006,3,12
11104,2007,3,12
11104,2008,4,15
11104,2009,4,12
11104,2010,4,18
11104,2011,5,14
11104,2012,3,12
11104,2013,3,24
11104,2014,6,15
11104,2015,6,25
11105,2005,0,17
11105,2006,0,21
11105,2007,0,26
11105,2008,1,33
11105,2009,2,28
11105,2010,2,28
11105,2011,2,30
11105,2012,1,32
11105,2013,3,40
11105,2014,4,108
11105,2015,4,113
11106,2005,2,116
11106,2006,1,118
11106,2007,0,120
11106,2008,0,156
11106,2009,1,148
11106,2010,0,184
11106,2011,1,190
11106,2012,2,195
11106,2013,5,204
11106,2014,4,201
11106,2015,6,222
11109,2006,1,0
11109,2007,1,0
11109,2008,1,2
11109,2009,1,0
11109,2010,1,0
11109,2011,1,0
11109,2012,2,2
11109,2013,4,2
11109,2014,4,2
11109,2015,2,2
11201,2005,22,131
11201,2006,23,143
11201,2007,19,167
11201,2008,22,229
11201,2009,26,268
11201,2010,28,358
11201,2011,27,367
11201,2012,37,436
11201,2013,35,639
11201,2014,47,630
11201,2015,53,1143
11203,2005,0,6
11203,2006,1,6
11203,2007,0,18
11203,2008,1,6
11203,2009,1,6
11203,2010,0,11
11203,2011,1,34
11203,2012,1,74
11203,2013,0,74
11203,2014,0,34
11203,2015,1,81
11204,2005,3,6
11204,2006,4,6
11204,2007,3,4
11204,2008,4,6
11204,2009,3,10
11204,2010,2,14
11204,2011,2,18
11204,2012,1,16
11204,2013,2,19
11204,2014,2,21
11204,2015,1,26
11205,2005,6,21
11205,2006,8,25
11205,2007,10,2
11205,2008,10,9
11205,2009,11,21
11205,2010,13,44
11205,2011,11,26
11205,2012,16,52
11205,2013,20,92
11205,2014,23,66
11205,2015,22,73
11206,2005,1,15
11206,2006,1,17
11206,2007,4,30
11206,2008,8,34
11206,2009,6,21
11206,2010,4,25
11206,2011,5,49
11206,2012,7,16
11206,2013,4,29
11206,2014,7,65
11206,2015,6,80
11207,2005,0,2
11207,2006,0,4
11207,2007,0,4
11207,2011,0,2
11207,2012,0,2
11207,2013,0,4
11207,2014,1,4
11207,2015,0,2
11208,2005,2,4
11208,2006,2,4
11208,2007,1,4
11208,2008,1,0
11208,2009,1,0
11208,2010,2,0
11208,2011,1,0
11208,2012,1,0
11208,2013,1,0
11208,2014,2,0
11208,2015,2,0
11209,2005,2,4
11209,2006,4,2
11209,2007,4,8
11209,2008,3,9
11209,2009,4,6
11209,2010,6,6
11209,2011,5,6
11209,2012,4,11
11209,2013,4,13
11209,2014,3,23
11209,2015,5,23
11210,2005,2,4
11210,2006,1,9
11210,2007,0,2
11210,2008,0,6
11210,2009,0,6
11210,2010,0,6
11210,2011,1,6
11210,2012,2,10
11210,2013,3,6
11210,2014,2,4
11210,2015,2,2
11211,2005,17,104
11211,2006,20,150
11211,2007,19,133
11211,2008,24,101
11211,2009,28,125
11211,2010,28,140
11211,2011,36,158
11211,2012,33,180
11211,2013,40,193
11211,2014,42,209
11211,2015,45,248
11212,2005,1,4
11212,2006,1,2
11212,2007,1,2
11212,2008,0,4
11212,2009,0,2
11212,2010,1,6
11212,2011,0,30
11212,2012,1,30
11212,2013,1,0
11212,2014,3,2
11212,2015,3,0
11213,2005,1,219
11213,2006,0,226
11213,2007,2,221
11213,2008,0,232
11213,2009,1,232
11213,2010,1,249
11213,2011,1,245
11213,2012,2,249
11213,2013,1,266
11213,2014,1,125
11213,2015,2,143
11214,2005,2,16
11214,2006,2,20
11214,2007,1,16
11214,2008,3,14
11214,2009,1,10
11214,2010,1,12
11214,2011,1,14
11214,2012,1,18
11214,2013,1,21
11214,2014,4,15
11214,2015,2,8
11215,2005,27,135
11215,2006,25,168
11215,2007,33,177
11215,2008,42,133
11215,2009,41,149
11215,2010,44,152
11215,2011,43,174
11215,2012,56,184
11215,2013,51,210
11215,2014,51,243
11215,2015,58,357
11216,2005,2,7
11216,2006,3,7
11216,2007,2,34
11216,2008,5,33
11216,2009,4,26
11216,2010,5,41
11216,2011,7,45
11216,2012,8,53
11216,2013,7,56
11216,2014,8,70
11216,2015,8,68
11217,2005,12,208
11217,2006,11,231
11217,2007,16,265
11217,2008,18,329
11217,2009,20,304
11217,2010,21,264
11217,2011,20,259
11217,2012,24,389
11217,2013,26,504
11217,2014,22,416
11217,2015,30,501
11218,2005,3,14
11218,2006,2,16
11218,2007,4,45
11218,2008,1,65
11218,2009,1,74
11218,2010,3,64
11218,2011,4,51
11218,2012,3,81
11218,2013,4,78
11218,2014,4,83
11218,2015,8,91
11219,2005,5,2
11219,2006,1,15
11219,2007,2,11
11219,2008,0,6
11219,2009,0,8
11219,2010,1,10
11219,2011,1,10
11219,2012,1,18
11219,2013,1,12
11219,2014,1,10
11219,2015,2,12
11220,2005,1,13
11220,2006,0,21
11220,2007,0,19
11220,2008,0,38
11220,2009,0,36
11220,2010,1,36
11220,2011,1,36
11220,2012,3,6
11220,2013,5,10
11220,2014,3,8
11220,2015,2,21
11221,2005,2,4
11221,2006,1,2
11221,2007,1,0
11221,2008,0,4
11221,2009,0,13
11221,2010,1,21
11221,2011,0,6
11221,2012,0,2
11221,2013,0,4
11221,2014,3,4
11221,2015,4,8
11222,2005,3,16
11222,2006,4,29
11222,2007,3,53
11222,2008,7,33
11222,2009,10,37
11222,2010,10,52
11222,2011,12,56
11222,2012,20,124
11222,2013,23,117
11222,2014,28,182
11222,2015,34,134
11223,2005,2,22
11223,2006,1,13
11223,2007,1,8
11223,2008,0,9
11223,2009,0,6
11223,2010,1,6
11223,2011,1,8
11223,2012,0,17
11223,2013,0,12
11223,2014,0,10
11223,2015,0,10
11224,2005,0,4
11224,2006,0,2
11224,2007,0,7
11224,2008,0,15
11224,2009,0,7
11224,2010,0,7
11224,2011,0,17
11224,2012,1,17
11224,2013,1,21
11224,2014,2,13
11224,2015,1,13
11225,2005,1,4
11225,2006,1,0
11225,2007,2,4
11225,2008,3,6
11225,2009,2,8
11225,2010,1,10
11225,2011,0,12
11225,2012,2,10
11225,2013,2,82
11225,2014,1,14
11225,2015,2,16
11226,2005,0,15
11226,2006,0,23
11226,2007,1,6
11226,2008,3,10
11226,2009,4,10
11226,2010,3,10
11226,2011,2,17
11226,2012,2,25
11226,2013,3,29
11226,2014,4,29
11226,2015,6,210
11228,2005,0,4
11228,2006,0,2
11228,2007,1,2
11228,2008,1,2
11228,2009,2,4
11228,2010,1,6
11228,2011,1,12
11228,2012,2,27
11228,2013,2,78
11228,2014,5,50
11228,2015,3,44
11229,2005,1,4
11229,2006,1,6
11229,2007,3,4
11229,2008,2,2
11229,2009,2,4
11229,2010,4,4
11229,2011,5,8
11229,2012,3,4
11229,2013,6,4
11229,2014,6,2
11229,2015,7,2
11230,2005,4,15
11230,2006,1,12
11230,2007,1,10
11230,2008,2,10
11230,2009,3,8
11230,2010,3,8
11230,2011,2,10
11230,2012,2,8
11230,2013,3,8
11230,2014,3,6
11230,2015,1,6
11231,2005,13,64
11231,2006,12,83
11231,2007,14,95
11231,2008,14,68
11231,2009,14,73
11231,2010,18,83
11231,2011,26,127
11231,2012,26,121
11231,2013,31,149
11231,2014,30,126
11231,2015,30,512
11232,2005,1,70
11232,2006,1,70
11232,2007,0,74
11232,2008,0,76
11232,2009,0,72
11232,2010,0,74
11232,2011,1,78
11232,2012,1,86
11232,2013,1,51
11232,2014,1,29
11232,2015,4,23
11233,2006,0,2
11233,2010,1,0
11233,2011,1,0
11233,2012,1,0
11233,2013,1,0
11233,2014,3,4
11233,2015,3,6
11234,2005,2,17
11234,2006,2,15
11234,2007,3,20
11234,2008,3,20
11234,2009,2,22
11234,2010,2,22
11234,2011,3,12
11234,2012,4,14
11234,2013,3,14
11234,2014,3,10
11234,2015,2,10
11235,2005,2,8
11235,2006,2,14
11235,2007,1,20
11235,2008,2,18
11235,2009,3,26
11235,2010,3,20
11235,2011,3,20
11235,2012,4,18
11235,2013,4,22
11235,2014,5,22
11235,2015,6,24
11236,2005,0,6
11236,2006,0,8
11236,2007,1,8
11236,2008,2,10
11236,2009,1,10
11236,2010,1,6
11236,2011,0,8
11236,2012,0,8
11236,2013,0,6
11236,2014,0,4
11236,2015,1,4
11237,2005,0,7
11237,2006,0,6
11237,2007,0,13
11237,2008,0,15
11237,2009,2,13
11237,2010,3,15
11237,2011,4,30
11237,2012,6,27
11237,2013,7,15
11237,2014,6,17
11237,2015,8,28
11238,2005,14,380
11238,2006,13,392
11238,2007,13,394
11238,2008,21,426
11238,2009,23,435
11238,2010,24,446
11238,2011,22,453
11238,2012,27,479
11238,2013,25,554
11238,2014,27,601
11238,2015,32,591
11242,2010,0,2
11242,2011,0,2
11242,2012,0,2
11242,2013,0,2
11242,2014,0,2
11242,2015,0,2
11243,2005,0,70
11243,2006,0,15
11249,2010,1,14
11249,2011,3,10
11249,2012,6,27
11249,2013,7,71
11249,2014,11,71
11249,2015,14,89
11354,2005,2,36
11354,2006,2,35
11354,2007,2,25
11354,2008,2,27
11354,2009,4,17
11354,2010,5,21
11354,2011,4,39
11354,2012,3,57
11354,2013,5,64
11354,2014,5,60
11354,2015,2,58
11355,2005,3,36
11355,2006,3,34
11355,2007,6,4
11355,2008,5,4
11355,2009,4,4
11355,2010,4,8
11355,2011,5,8
11355,2012,5,15
11355,2013,5,15
11355,2014,3,13
11355,2015,3,15
11356,2005,1,2
11356,2006,1,4
11356,2007,2,17
11356,2008,2,17
11356,2009,1,17
11356,2010,1,17
11356,2011,1,19
11356,2012,1,23
11356,2013,1,18
11356,2014,2,13
11356,2015,1,16
11357,2005,4,22
11357,2006,3,16
11357,2007,3,18
11357,2008,3,16
11357,2009,3,24
11357,2010,4,31
11357,2011,3,22
11357,2012,3,33
11357,2013,4,31
11357,2014,5,31
11357,2015,3,33
11358,2005,1,33
11358,2006,1,37
11358,2007,0,31
11358,2008,1,24
11358,2009,1,24
11358,2010,1,22
11358,2011,1,26
11358,2012,3,31
11358,2013,1,31
11358,2014,1,29
11358,2015,1,36
11359,2005,0,2
11359,2006,0,2
11359,2007,0,2
11359,2012,0,2
11360,2005,3,13
11360,2006,2,21
11360,2007,1,23
11360,2008,1,19
11360,2009,1,22
11360,2010,1,17
11360,2011,1,20
11360,2012,1,11
11360,2013,2,13
11360,2014,1,11
11360,2015,0,11
11361,2005,0,25
11361,2006,0,26
11361,2007,0,9
11361,2008,1,13
11361,2009,1,17
11361,2010,0,21
11361,2011,0,24
11361,2012,0,30
11361,2013,0,30
11361,2014,1,32
11361,2015,1,23
11362,2005,0,2
11362,2006,0,7
11362,2007,0,7
11362,2008,0,9
11362,2009,0,7
11362,2010,1,7
11362,2011,0,7
11362,2012,0,7
11362,2013,0,2
11362,2014,0,2
11362,2015,0,6
11363,2005,1,17
11363,2006,0,22
11363,2007,0,19
11363,2008,2,2
11363,2009,3,2
11363,2010,0,2
11363,2011,0,2
11363,2012,0,9
11363,2013,0,7
11363,2014,0,11
11363,2015,1,11
11364,2005,0,9
11364,2006,0,19
11364,2007,0,11
11364,2008,1,11
11364,2009,1,11
11364,2010,1,13
11364,2011,1,17
11364,2012,0,12
11364,2013,0,6
11364,2014,0,6
11364,2015,0,4
11365,2005,1,34
11365,2006,0,36
11365,2007,2,8
11365,2008,2,8
11365,2009,1,13
11365,2010,1,13
11365,2011,1,22
11365,2012,1,15
11365,2013,1,15
11365,2014,1,17
11365,2015,1,34
11366,2005,2,24
11366,2006,2,16
11366,2007,2,24
11366,2008,2,24
11366,2009,2,24
11366,2010,1,24
11366,2011,0,24
11366,2012,0,21
11366,2013,0,21
11366,2014,0,19
11366,2015,0,24
11367,2005,1,2
11367,2006,0,7
11367,2007,2,0
11367,2008,4,0
11367,2009,4,15
11367,2010,4,30
11367,2011,2,2
11367,2012,1,4
11367,2013,2,4
11367,2014,3,4
11367,2015,2,4
11368,2005,0,510
11368,2006,0,472
11368,2007,1,440
11368,2008,1,440
11368,2009,0,440
11368,2010,1,440
11368,2011,0,240
11368,2012,1,310
11368,2013,1,470
11368,2014,2,470
11368,2015,1,572
11369,2005,0,2
11369,2006,0,2
11369,2012,0,2
11372,2005,2,13
11372,2006,1,10
11372,2007,2,24
11372,2008,1,16
11372,2009,1,30
11372,2010,2,36
11372,2011,1,42
11372,2012,5,38
11372,2013,7,28
11372,2014,5,38
11372,2015,5,28
11373,2005,2,4
11373,2006,0,2
11373,2007,1,6
11373,2008,0,8
11373,2011,1,0
11373,2012,2,0
11373,2013,2,0
11373,2014,1,0
11373,2015,2,2
11374,2005,1,8
11374,2006,1,25
11374,2007,2,11
11374,2008,1,21
11374,2009,1,23
11374,2010,1,20
11374,2011,0,24
11374,2012,0,19
11374,2013,0,19
11374,2014,0,19
11374,2015,0,13
11375,2005,6,44
11375,2006,6,14
11375,2007,5,20
11375,2008,4,36
11375,2009,4,49
11375,2010,6,49
11375,2011,6,41
11375,2012,7,59
11375,2013,8,81
11375,2014,9,60
11375,2015,7,65
11377,2005,0,4
11377,2006,0,6
11377,2007,1,8
11377,2008,1,6
11377,2009,0,8
11377,2010,1,8
11377,2011,3,25
11377,2012,2,12
11377,2013,2,10
11377,2014,3,14
11377,2015,5,19
11378,2005,2,2
11378,2006,2,2
11378,2007,2,2
11378,2008,2,4
11378,2009,1,2
11378,2010,0,2
11378,2011,0,2
11378,2012,0,2
11378,2013,0,2
11378,2014,1,2
11378,2015,0,4
11379,2005,1,11
11379,2006,1,13
11379,2007,1,13
11379,2008,1,16
11379,2009,1,13
11379,2010,1,13
11379,2011,1,13
11379,2012,1,22
11379,2013,1,13
11379,2014,1,13
11379,2015,1,16
11385,2005,1,17
11385,2006,1,13
11385,2007,1,76
11385,2008,1,6
11385,2009,0,8
11385,2010,0,6
11385,2011,0,10
11385,2012,1,6
11385,2013,1,10
11385,2014,3,10
11385,2015,5,14
11411,2007,0,2
11411,2008,0,4
11411,2009,0,4
11411,2010,0,8
11411,2011,0,4
11411,2012,0,4
11411,2013,0,6
11411,2014,0,4
11411,2015,0,2
11412,2005,0,2
11412,2006,0,2
11412,2007,0,7
11412,2008,0,4
11412,2009,0,9
11412,2010,0,4
11412,2011,0,9
11412,2012,0,4
11412,2013,0,4
11412,2014,0,9
11412,2015,0,37
11413,2005,0,17
11413,2006,0,15
11413,2007,0,15
11413,2008,0,37
11413,2009,0,30
11413,2010,0,30
11413,2011,0,30
11413,2012,0,30
11413,2013,0,30
11413,2014,0,30
11413,2015,0,30
11414,2005,0,20
11414,2006,0,28
11414,2007,1,28
11414,2008,0,31
11414,2009,1,18
11414,2010,1,16
11414,2011,1,21
11414,2012,1,23
11414,2013,1,31
11414,2014,3,31
11414,2015,4,31
11415,2005,1,0
11415,2006,1,0
11415,2007,1,0
11415,2008,1,0
11415,2009,1,0
11415,2010,1,0
11415,2011,1,0
11415,2012,1,0
11415,2013,2,0
11415,2014,1,0
11415,2015,2,2
11416,2005,0,2
11416,2006,0,4
11416,2007,0,2
11416,2008,0,2
11416,2009,0,2
11416,2010,0,4
11416,2011,0,2
11416,2012,0,2
11416,2013,0,4
11416,2014,0,2
11416,2015,1,2
11417,2005,0,15
11417,2006,0,30
11417,2007,0,15
11417,2008,0,30
11417,2009,0,30
11417,2010,0,17
11417,2011,0,17
11417,2012,0,17
11417,2013,0,30
11417,2014,0,30
11417,2015,0,15
11418,2005,0,2
11418,2006,0,4
11418,2007,0,4
11418,2008,0,6
11418,2009,0,6
11418,2010,0,4
11418,2011,0,6
11418,2012,0,6
11418,2013,0,6
11418,2014,0,10
11418,2015,0,13
11419,2005,0,4
11419,2006,0,4
11419,2007,0,2
11419,2012,1,2
11419,2013,2,4
11419,2014,1,4
11419,2015,1,2
11420,2012,1,0
11420,2013,1,0
11421,2005,0,4
11421,2006,0,4
11421,2007,1,9
11421,2008,2,4
11421,2009,3,4
11421,2010,3,4
11421,2011,4,4
11421,2012,4,6
11421,2013,4,6
11421,2014,2,4
11421,2015,2,4
11422,2005,1,11
11422,2006,2,16
11422,2007,1,9
11422,2008,1,7
11422,2009,2,7
11422,2010,2,7
11422,2011,2,7
11422,2012,1,7
11422,2013,0,7
11422,2014,0,9
11422,2015,1,0
11423,2005,0,2
11423,2006,0,2
11423,2007,0,2
11423,2008,1,2
11423,2009,0,2
11423,2010,0,2
11423,2011,1,4
11423,2012,0,2
11423,2013,0,2
11423,2014,0,2
11423,2015,0,2
11426,2009,0,2
11426,2010,0,2
11426,2011,0,2
11426,2012,0,4
11426,2013,0,2
11427,2005,0,4
11427,2006,0,4
11427,2007,1,4
11427,2008,1,2
11427,2009,1,2
11427,2010,1,2
11427,2011,1,2
11427,2014,1,4
11427,2015,1,4
11428,2005,0,13
11428,2006,0,11
11428,2007,0,6
11428,2008,0,4
11428,2009,0,2
11428,2010,0,4
11428,2011,0,2
11428,2012,0,2
11428,2013,0,7
11428,2014,0,4
11428,2015,0,4
11429,2006,1,0
11429,2010,1,0
11429,2013,0,2
11429,2014,0,2
11429,2015,1,4
11432,2005,0,10
11432,2006,0,6
11432,2007,0,6
11432,2008,1,6
11432,2009,1,6
11432,2010,1,4
11432,2011,0,6
11432,2012,1,2
11432,2013,1,0
11432,2014,1,0
11432,2015,0,2
11434,2005,0,4
11434,2006,0,4
11434,2007,1,4
11434,2008,1,4
11434,2009,1,6
11434,2010,1,6
11434,2011,1,6
11434,2012,1,17
11434,2013,1,19
11434,2014,1,19
11434,2015,1,21
11435,2005,1,7
11435,2006,1,7
11435,2007,1,7
11435,2008,1,7
11435,2009,1,7
11435,2010,1,11
11435,2011,1,11
11435,2012,0,11
11435,2013,0,9
11435,2014,0,11
11435,2015,0,17
11436,2005,1,0
11436,2006,1,0
11436,2007,0,2
11436,2008,1,0
11436,2009,1,0
11436,2010,1,0
11436,2011,1,0
11691,2008,1,0
11691,2014,0,2
11691,2015,0,2
11692,2013,0,2
11692,2014,0,2
11692,2015,0,2
11693,2005,0,2
11693,2011,1,0
11693,2012,1,0
11693,2013,1,0
11693,2014,1,0
11693,2015,1,2
11694,2005,1,24
11694,2006,1,2
11694,2007,1,4
11694,2008,1,4
11694,2009,3,4
11694,2010,2,4
11694,2011,0,4
11694,2012,0,9
11694,2013,0,9
11694,2014,0,2
11694,2015,1,2
