"zip","year","federal_awards","federal_dollars","state_awards","state_dollars"
10456,2006,1,30000,2,129200
10456,2007,1,40000,4,164000
10456,2008,2,192000,4,178400
10456,2009,3,1e+05,4,178400
10456,2010,3,107000,12,339000
10456,2011,2,169000,10,312022
10456,2012,3,78000,10,211000
10456,2013,2,60000,10,292100
10456,2014,3,230000,4,77000
10456,2015,2,60000,8,194000
10458,2005,2,646000,2,58000
10458,2006,1,150000,4,72000
10458,2007,1,140000,2,60900
10458,2008,1,147249,4,116000
10458,2009,0,0,4,116000
10458,2010,4,151038,4,127236
10458,2011,1,150000,4,61316
10458,2012,2,162000,6,94060
10458,2013,1,113167,6,91060
10458,2014,1,144824,0,0
10458,2015,3,1046457,4,98584
10459,2005,0,0,4,12000
10459,2006,0,0,4,12000
10459,2007,0,0,2,7350
10459,2008,0,0,4,20000
10459,2009,0,0,4,27600
10459,2010,0,0,2,16784
10459,2011,0,0,8,95384
10459,2012,0,0,8,80400
10459,2013,0,0,2,19200
10459,2015,1,10000,4,25000
10460,2005,1,996236,4,41200
10460,2006,2,380620,4,41200
10460,2007,2,179775,4,40400
10460,2008,0,0,4,44400
10460,2009,0,0,2,30000
10460,2010,1,149991,6,47700
10460,2011,1,138996,4,29868
10460,2012,0,0,4,21000
10460,2013,1,117139,4,21000
10460,2015,0,0,4,25000
10461,2005,2,55000,12,570500
10461,2006,3,90000,10,520500
10461,2007,2,45000,14,628500
10461,2008,3,55000,20,731800
10461,2009,3,1e+05,18,742000
10461,2010,2,50000,18,663808
10461,2011,3,66000,20,559966
10461,2012,1,20000,16,469180
10461,2013,2,60000,14,460680
10461,2014,1,30000,0,0
10461,2015,3,85000,16,471300
10462,2010,1,10000,0,0
10462,2011,1,20000,0,0
10462,2012,1,15000,2,20000
10462,2013,0,0,2,20000
10462,2014,1,10000,0,0
10462,2015,0,0,2,20000
10463,2005,0,0,2,16400
10463,2006,0,0,2,17000
10463,2008,0,0,2,43800
10463,2009,0,0,4,51000
10463,2010,0,0,4,55000
10463,2011,0,0,8,75360
10463,2012,0,0,4,59000
10463,2013,0,0,6,186000
10463,2015,0,0,4,80000
10464,2009,0,0,2,26000
10464,2011,0,0,2,35604
10464,2014,0,0,2,10000
10464,2015,0,0,2,10000
10467,2005,2,30000,4,93400
10467,2006,0,0,8,118400
10467,2007,1,10000,4,110200
10467,2008,0,0,4,145800
10467,2009,0,0,6,194600
10467,2010,1,15000,4,152562
10467,2011,1,20000,6,225294
10467,2012,1,25000,16,560000
10467,2013,1,50000,4,140000
10467,2014,2,65000,0,0
10467,2015,2,50000,4,141000
10468,2005,1,107161,14,141600
10468,2006,2,15000,14,153200
10468,2007,2,30000,14,149290
10468,2008,1,150000,10,116200
10468,2009,1,5000,12,102400
10468,2010,2,30000,10,139618
10468,2011,2,170000,12,149536
10468,2012,0,0,14,142220
10468,2013,2,50000,14,159100
10468,2014,0,0,2,40000
10468,2015,0,0,8,126100
10469,2012,1,25000,0,0
10471,2005,2,22000,14,173000
10471,2006,2,20000,18,136400
10471,2007,0,0,12,105400
10471,2008,3,154375,8,59200
10471,2009,4,110000,8,55400
10471,2010,2,50000,14,99302
10471,2011,1,55000,14,126548
10471,2012,1,55000,8,75720
10471,2013,1,25000,10,168720
10471,2014,1,20000,0,0
10471,2015,1,20000,8,76800
10473,2009,0,0,2,1800
10474,2005,1,30000,0,0
10474,2006,0,0,2,14600
10474,2007,1,25000,4,22330
10474,2008,2,40000,10,59000
10474,2009,2,65000,6,45400
10474,2010,1,50000,6,39618
10474,2011,0,0,6,32834
10474,2012,0,0,8,44420
10474,2013,1,30000,8,62900
10474,2015,0,0,2,5960
11004,2015,0,0,2,22000
11101,2005,2,65000,24,317400
11101,2006,2,65000,30,352600
11101,2007,3,90000,34,410900
11101,2008,3,128000,40,464960
11101,2009,5,168000,36,364404
11101,2010,3,95000,36,391364
11101,2011,6,145000,40,465126
11101,2012,4,80000,22,297360
11101,2013,4,75000,34,423020
11101,2014,2,50000,0,0
11101,2015,3,70000,42,729600
11102,2005,0,0,6,62600
11102,2006,0,0,4,57600
11102,2007,0,0,4,66300
11102,2008,0,0,4,81800
11102,2009,0,0,2,62000
11102,2010,0,0,4,69180
11102,2011,0,0,4,34812
11102,2012,1,25000,2,30000
11102,2013,0,0,2,30000
11102,2015,1,13000,0,0
11103,2005,0,0,2,6000
11103,2006,0,0,2,6000
11103,2007,0,0,2,6300
11103,2008,1,10000,0,0
11103,2010,0,0,4,87620
11103,2011,0,0,2,8308
11103,2012,0,0,2,6000
11103,2013,0,0,2,6000
11103,2014,1,10000,0,0
11103,2015,0,0,2,10000
11104,2005,1,10000,10,200200
11104,2006,1,12000,6,168200
11104,2007,1,15000,6,180100
11104,2008,0,0,8,243000
11104,2009,1,15000,8,275000
11104,2010,1,20000,6,191840
11104,2011,2,32500,4,174262
11104,2012,0,0,10,184640
11104,2013,1,20000,8,225440
11104,2015,2,20000,8,259600
11105,2005,0,0,10,65000
11105,2006,0,0,10,59600
11105,2007,0,0,8,44790
11105,2008,0,0,8,46180
11105,2009,0,0,6,40800
11105,2010,0,0,6,25414
11105,2011,0,0,2,11868
11106,2005,3,75000,14,297800
11106,2006,3,205000,18,344430
11106,2007,3,42500,18,477510
11106,2008,3,85000,16,366400
11106,2009,3,125000,10,390000
11106,2010,4,848999,12,336700
11106,2011,3,135000,10,206702
11106,2012,4,232095,16,327800
11106,2013,3,90000,14,301000
11106,2014,4,244674,6,84000
11106,2015,1,30000,16,317000
11201,2005,23,852987,56,865600
11201,2006,18,659907,66,1149400
11201,2007,17,582000,66,1255650
11201,2008,21,745500,62,1505844
11201,2009,34,1255000,44,1231200
11201,2010,23,925500,108,4647840
11201,2011,23,1202838,92,3961840
11201,2012,18,610500,128,3914580
11201,2013,20,6e+05,112,3931680
11201,2014,19,767000,14,95720
11201,2015,21,820000,112,3891090
11202,2014,1,25000,0,0
11203,2005,1,10000,6,22000
11203,2006,1,10000,2,10000
11203,2007,2,20000,2,14000
11203,2008,1,10000,8,116200
11203,2009,1,10000,6,59000
11203,2010,1,10000,12,129322
11203,2011,1,10000,8,146174
11203,2012,1,10000,8,114740
11203,2013,1,10000,6,99140
11203,2014,1,10000,0,0
11203,2015,0,0,4,47600
11204,2007,1,10000,0,0
11204,2008,1,18000,0,0
11204,2009,1,25000,0,0
11204,2010,1,20000,0,0
11204,2011,1,13000,0,0
11204,2012,0,0,6,41800
11204,2013,1,15000,6,52200
11204,2014,0,0,4,47400
11204,2015,0,0,6,53800
11205,2005,3,43000,6,125654
11205,2006,2,22000,10,165202
11205,2007,3,47000,10,204584
11205,2008,3,814039,8,125900
11205,2009,4,1e+05,4,38100
11205,2010,4,1021407,8,115796
11205,2011,6,115000,10,135592
11205,2012,3,65000,14,124520
11205,2013,2,42500,14,132494
11205,2014,3,50000,4,20000
11205,2015,4,75000,24,313834
11206,2005,2,35000,0,0
11206,2006,0,0,2,5000
11206,2007,0,0,4,19600
11206,2008,1,15000,6,48000
11206,2009,0,0,2,12000
11206,2010,1,20000,14,174450
11206,2011,1,15000,16,132612
11206,2012,2,45000,18,156914
11206,2013,2,35000,16,161662
11206,2014,1,25000,0,0
11206,2015,1,15000,12,97000
11207,2011,0,0,2,10088
11208,2013,0,0,2,20000
11208,2014,0,0,2,20000
11208,2015,0,0,2,20000
11209,2008,0,0,2,8000
11209,2010,0,0,2,6000
11209,2012,1,12500,0,0
11210,2005,1,10000,8,86600
11210,2006,1,10000,8,74502
11210,2008,1,10000,2,400
11210,2009,1,10000,0,0
11210,2010,1,10000,8,38600
11210,2011,1,10000,4,34322
11210,2012,1,25000,2,14800
11210,2013,0,0,2,40000
11210,2014,1,10000,2,40000
11210,2015,1,12500,8,77900
11211,2005,0,0,34,338000
11211,2006,1,25000,34,440400
11211,2007,0,0,36,335646
11211,2008,0,0,52,462500
11211,2009,1,20000,26,328598
11211,2010,2,65000,38,415846
11211,2011,2,55000,42,376812
11211,2012,3,95000,40,401014
11211,2013,1,20000,32,409450
11211,2014,3,55000,6,104400
11211,2015,5,90000,14,215950
11213,2005,1,150000,18,212800
11213,2006,1,39675,18,210800
11213,2007,0,0,16,236890
11213,2008,0,0,18,255200
11213,2009,3,409804,14,235000
11213,2010,2,288652,14,254774
11213,2011,1,150000,18,239336
11213,2012,0,0,12,192480
11213,2013,3,185000,10,179280
11213,2014,1,45000,0,0
11213,2015,1,148550,4,111000
11214,2005,0,0,2,11000
11214,2006,0,0,2,11000
11214,2007,0,0,2,11550
11214,2008,0,0,4,35000
11214,2009,0,0,2,14800
11214,2010,0,0,2,14200
11214,2011,0,0,2,11868
11214,2012,0,0,2,10740
11214,2013,0,0,2,10000
11214,2014,0,0,2,10000
11214,2015,0,0,2,10000
11215,2005,2,90000,38,281380
11215,2006,4,120000,46,324800
11215,2007,10,195000,42,409830
11215,2008,7,213000,58,602200
11215,2009,12,390000,48,548500
11215,2010,9,262000,50,468950
11215,2011,10,233000,54,535436
11215,2012,12,247000,68,638566
11215,2013,12,414500,46,596540
11215,2014,9,3e+05,10,58208
11215,2015,11,315000,54,721200
11216,2005,0,0,6,63600
11216,2006,0,0,6,103400
11216,2007,0,0,8,132660
11216,2008,0,0,8,154600
11216,2009,0,0,8,123100
11216,2010,0,0,8,128928
11216,2011,1,25000,10,160414
11216,2012,0,0,10,125940
11216,2013,1,25000,10,139650
11216,2014,1,25000,0,0
11216,2015,1,30000,10,160366
11217,2005,18,548400,100,1433800
11217,2006,17,382500,98,1424000
11217,2007,12,318000,126,1804670
11217,2008,20,497700,106,2029600
11217,2009,22,822720,80,1735800
11217,2010,25,706954,114,1869348
11217,2011,19,980730,128,1965690
11217,2012,23,948954,134,1751000
11217,2013,19,719500,134,1845862
11217,2014,23,1091800,18,214200
11217,2015,20,1355536,104,1532850
11218,2005,1,10000,4,26600
11218,2006,1,10000,4,20000
11218,2007,1,10000,4,27696
11218,2008,2,35000,2,12834
11218,2009,2,50000,4,23340
11218,2010,1,10000,2,16000
11218,2011,2,35000,6,100682
11218,2012,0,0,4,20000
11218,2013,1,10000,6,58000
11218,2014,0,0,2,8000
11218,2015,2,25000,14,112152
11219,2005,1,10000,2,16000
11219,2006,1,10000,0,0
11219,2008,1,10000,0,0
11219,2009,0,0,2,3000
11219,2015,0,0,2,10000
11220,2005,0,0,4,24800
11220,2006,0,0,4,24800
11220,2007,0,0,4,27750
11220,2008,0,0,4,30600
11220,2009,0,0,8,80600
11220,2010,1,8000,8,60486
11220,2011,1,10000,8,89198
11220,2012,0,0,10,50880
11220,2013,0,0,4,17680
11220,2015,0,0,8,42114
11221,2005,0,0,2,37000
11221,2006,1,10000,0,0
11221,2010,0,0,4,16000
11221,2014,1,25000,4,4180
11222,2005,1,10000,4,19000
11222,2006,0,0,12,80000
11222,2007,0,0,4,25500
11222,2009,0,0,4,21430
11222,2010,0,0,12,42012
11222,2011,0,0,10,37186
11222,2012,1,12500,14,81640
11222,2013,0,0,18,196658
11222,2014,2,45000,10,86650
11222,2015,1,20000,26,341410
11223,2006,0,0,2,12600
11223,2007,0,0,2,13230
11224,2005,0,0,2,11400
11224,2006,0,0,2,11400
11224,2007,0,0,6,48970
11224,2008,0,0,4,37550
11224,2009,0,0,2,30000
11224,2011,0,0,4,58152
11224,2012,0,0,2,15000
11225,2005,1,10000,2,30000
11225,2006,0,0,8,59840
11225,2007,2,30000,6,85500
11225,2008,1,150000,6,45550
11225,2009,0,0,4,83600
11225,2010,0,0,8,67448
11225,2011,1,20000,8,145846
11225,2012,0,0,6,31000
11225,2013,3,170000,10,157000
11225,2014,3,180000,2,14000
11225,2015,1,20000,6,56000
11226,2005,0,0,4,54800
11226,2006,0,0,6,88600
11226,2007,0,0,4,88000
11226,2010,0,0,2,15796
11226,2011,0,0,6,108462
11226,2012,1,10000,2,1e+05
11226,2013,1,15000,2,5000
11226,2015,1,12000,18,354500
11228,2007,0,0,2,16800
11228,2008,0,0,2,18400
11228,2010,0,0,2,8000
11228,2011,0,0,2,5934
11230,2005,1,10000,4,17600
11230,2006,0,0,2,5000
11230,2007,1,10000,2,5250
11230,2008,0,0,2,7200
11230,2010,0,0,6,42076
11230,2011,0,0,2,8308
11230,2012,1,25000,2,7520
11230,2013,0,0,4,42880
11230,2015,0,0,2,8000
11231,2005,2,50000,18,68124
11231,2006,0,0,12,55200
11231,2007,0,0,18,85850
11231,2008,2,25000,16,145048
11231,2009,1,15000,18,166100
11231,2010,3,72000,18,223050
11231,2011,2,25000,30,465418
11231,2012,2,35000,20,243240
11231,2013,2,45000,26,478800
11231,2014,5,115000,0,0
11231,2015,5,95000,26,256400
11232,2005,1,45000,6,58000
11232,2006,1,40000,6,64000
11232,2007,1,40000,10,60200
11232,2008,1,40000,14,118400
11232,2009,3,115000,8,85400
11232,2010,1,40000,10,108822
11232,2011,2,55000,6,25714
11232,2012,2,35000,14,143800
11232,2013,2,60000,10,91000
11232,2014,3,117000,2,20000
11232,2015,2,80000,8,129000
11233,2008,0,0,2,10000
11233,2010,1,15000,0,0
11233,2011,1,15000,2,8308
11233,2013,0,0,4,39000
11233,2014,0,0,4,104000
11233,2015,0,0,2,23000
11234,2006,0,0,6,52000
11234,2007,0,0,8,93350
11234,2008,0,0,2,12000
11235,2008,0,0,6,15710
11235,2009,0,0,2,12000
11235,2010,0,0,4,14680
11235,2011,0,0,6,31078
11235,2012,0,0,4,12200
11235,2013,0,0,2,8100
11236,2013,0,0,2,15800
11237,2005,0,0,2,36000
11237,2006,1,15000,4,44400
11237,2007,1,15000,6,106620
11237,2008,0,0,6,96000
11237,2009,0,0,2,45000
11237,2010,0,0,4,25000
11237,2012,0,0,2,10000
11237,2013,0,0,2,10000
11237,2014,0,0,2,400
11237,2015,1,10000,4,66000
11238,2005,4,135000,10,482200
11238,2006,4,105000,14,539000
11238,2007,4,115000,12,575200
11238,2008,7,338512,10,565800
11238,2009,8,777767,2,452800
11238,2010,9,401000,24,567248
11238,2011,8,725000,34,499046
11238,2012,4,149850,26,433280
11238,2013,10,463808,28,402680
11238,2014,7,390000,4,40000
11238,2015,12,500729,40,713800
11243,2005,0,0,2,1e+05
11249,2012,0,0,2,5000
11249,2013,0,0,16,140946
11249,2014,0,0,8,38000
11249,2015,0,0,18,174000
11354,2005,0,0,8,123200
11354,2006,1,10000,6,130000
11354,2007,1,50000,6,115000
11354,2008,1,35000,8,175000
11354,2009,3,110000,14,221958
11354,2010,1,30000,14,213840
11354,2011,1,40000,14,166718
11354,2012,1,40000,6,125400
11354,2013,0,0,6,113460
11354,2014,1,25000,4,108000
11354,2015,1,25000,4,108000
11355,2005,2,158529,2,8800
11355,2006,1,20000,0,0
11355,2007,2,174545,8,51360
11355,2008,1,35000,8,67600
11355,2009,2,55000,2,9800
11355,2010,2,65000,2,8000
11355,2011,1,60000,2,6726
11355,2012,1,50000,2,6100
11355,2013,0,0,2,6100
11355,2015,2,50000,4,67400
11357,2005,1,14000,4,25200
11357,2006,0,0,6,31200
11357,2007,1,5000,6,37590
11357,2008,1,10000,4,45000
11357,2009,1,10000,6,52000
11357,2010,1,10000,4,45020
11357,2011,0,0,6,56570
11357,2012,0,0,6,49440
11357,2013,0,0,6,51860
11357,2014,1,15000,0,0
11357,2015,0,0,2,24000
11358,2007,0,0,2,32340
11358,2008,0,0,2,35600
11358,2010,0,0,2,30000
11358,2011,0,0,2,24922
11358,2012,0,0,2,22580
11360,2005,1,6000,2,8000
11360,2006,1,8000,2,8000
11360,2007,0,0,2,8400
11360,2008,1,10000,2,9200
11360,2009,1,10000,0,0
11360,2011,1,10000,0,0
11360,2012,1,10000,0,0
11360,2014,1,10000,0,0
11360,2015,1,10000,0,0
11361,2005,0,0,2,6000
11361,2006,0,0,2,6000
11361,2007,0,0,2,6400
11363,2005,0,0,2,13600
11363,2006,0,0,2,13600
11363,2007,0,0,4,27280
11363,2008,0,0,2,20000
11363,2009,0,0,2,19600
11363,2010,0,0,4,27444
11363,2011,1,10000,4,26506
11363,2012,0,0,2,15040
11363,2013,0,0,2,15040
11363,2014,1,10000,0,0
11363,2015,0,0,2,26000
11364,2009,1,33000,0,0
11364,2011,1,495000,0,0
11364,2012,1,34000,2,4080
11364,2015,1,29877,0,0
11365,2005,0,0,2,12000
11367,2005,1,15000,0,0
11367,2006,0,0,2,6498
11367,2007,1,89389,2,7700
11367,2008,1,99999,0,0
11367,2009,1,105384,0,0
11367,2010,1,3000,0,0
11367,2012,0,0,2,50000
11367,2013,0,0,2,50000
11367,2014,0,0,2,50000
11367,2015,0,0,2,50000
11368,2005,5,2407986,14,279800
11368,2006,5,686091,12,240000
11368,2007,2,1e+05,16,223180
11368,2008,3,1e+05,16,335000
11368,2009,5,648801,14,323000
11368,2010,3,208454,16,272166
11368,2011,2,155866,14,257338
11368,2012,4,329988,12,146100
11368,2013,1,30000,14,223260
11368,2014,3,190000,8,203840
11368,2015,5,679871,16,355800
11370,2015,1,10000,2,28000
11372,2005,0,0,8,56400
11372,2006,0,0,8,58400
11372,2007,0,0,8,50150
11372,2008,1,7500,8,62400
11372,2009,1,10000,8,62000
11372,2010,0,0,10,63256
11372,2011,0,0,12,54990
11372,2012,0,0,22,157780
11372,2013,0,0,10,64000
11372,2014,0,0,6,38400
11372,2015,2,30000,6,52000
11373,2005,1,15000,0,0
11374,2013,1,25000,0,0
11375,2006,1,20000,0,0
11375,2012,0,0,2,5000
11377,2005,0,0,4,16000
11377,2006,0,0,4,16000
11377,2007,1,10000,4,18000
11377,2008,0,0,4,20600
11377,2009,0,0,6,34400
11377,2010,0,0,6,32460
11377,2011,0,0,6,28286
11377,2012,0,0,8,35600
11377,2013,0,0,4,20560
11377,2014,0,0,2,50000
11377,2015,0,0,4,24000
11378,2008,0,0,2,7000
11378,2009,1,10000,2,7000
11378,2010,0,0,2,7000
11378,2011,0,0,2,5736
11378,2012,0,0,2,10000
11378,2013,0,0,2,10000
11378,2015,0,0,2,15000
11385,2005,1,10000,4,99000
11385,2006,0,0,2,94000
11385,2007,0,0,2,98700
11385,2008,0,0,2,108600
11385,2009,0,0,2,108600
11385,2010,0,0,2,96654
11385,2011,1,8000,2,80108
11385,2013,0,0,2,20000
11385,2014,1,10000,0,0
11385,2015,0,0,8,144000
11412,2007,0,0,4,20000
11412,2008,0,0,2,16000
11412,2009,1,25000,0,0
11412,2010,0,0,2,10000
11412,2013,0,0,2,10000
11412,2015,0,0,2,10000
11418,2005,0,0,10,77000
11418,2006,0,0,8,64000
11418,2007,0,0,8,68000
11418,2008,0,0,6,66200
11418,2009,0,0,6,66000
11418,2010,0,0,4,72000
11418,2011,0,0,4,59734
11418,2012,0,0,4,42000
11419,2013,0,0,4,68840
11421,2005,1,35000,12,513400
11421,2006,1,25000,14,527400
11421,2007,1,25000,10,493520
11421,2008,1,25000,14,589800
11421,2009,1,25000,8,549800
11421,2010,1,15000,10,490720
11421,2011,1,20000,10,362568
11421,2012,0,0,10,333720
11421,2013,1,20000,6,314000
11421,2014,1,10000,0,0
11421,2015,0,0,2,16000
11432,2005,0,0,18,336200
11432,2006,1,15000,14,222000
11432,2007,1,15000,12,228250
11432,2008,2,25000,12,252800
11432,2009,2,64320,8,182000
11432,2010,1,25000,14,242842
11432,2011,1,10000,16,378198
11432,2012,0,0,10,152140
11432,2013,1,10000,8,146260
11432,2014,1,398855,0,0
11432,2015,1,15000,6,59000
11434,2005,0,0,4,77000
11434,2006,0,0,2,70000
11434,2007,0,0,2,73500
11434,2008,0,0,2,80800
11434,2009,0,0,2,80800
11434,2010,1,10000,2,71000
11434,2011,0,0,4,63888
11434,2012,1,10000,8,194380
11434,2013,0,0,2,70000
11434,2014,1,10000,6,221080
11434,2015,0,0,2,70000
11439,2007,1,976419,0,0
11439,2008,1,990892,0,0
11694,2010,0,0,2,30000
